OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,Discount,Revenue
10000,2023-01-01,West,Electronics,Headphones,3,555.94,0.0,1667.81
10001,2023-01-01,East,Furniture,Sofa,3,196.74,0.0,590.22
10002,2023-01-01,West,Grocery,Bread,3,4.04,0.05,11.52
10003,2023-01-01,West,Grocery,Milk,2,4.36,0.0,8.73
10004,2023-01-01,North,Grocery,Milk,5,4.86,0.0,24.32
10005,2023-01-01,East,Clothing,Jacket,2,32.75,0.15,55.67
10006,2023-01-01,West,Clothing,Jeans,3,38.12,0.15,97.2
10007,2023-01-01,West,Electronics,Headphones,5,521.51,0.0,2607.54
10008,2023-01-01,North,Clothing,Jeans,4,47.08,0.05,178.89
10009,2023-01-01,South,Furniture,Chair,2,167.81,0.15,285.28
10010,2023-01-01,West,Clothing,Dress,4,39.92,0.1,143.72
10011,2023-01-01,East,Furniture,Chair,4,174.58,0.15,593.57
10012,2023-01-01,South,Furniture,Table,2,205.42,0.0,410.83
10013,2023-01-01,East,Furniture,Table,4,235.16,0.05,893.61
10014,2023-01-01,West,Furniture,Sofa,4,163.62,0.15,556.3
10015,2023-01-01,North,Grocery,Rice,2,5.08,0.15,8.63
10016,2023-01-01,South,Electronics,Tablet,4,508.54,0.0,2034.16
10017,2023-01-01,North,Clothing,T-Shirt,1,32.25,0.0,32.25
10018,2023-01-01,West,Electronics,Tablet,3,439.77,0.15,1121.41
10019,2023-01-01,East,Clothing,T-Shirt,3,33.18,0.1,89.6
10020,2023-01-01,South,Electronics,Tablet,1,524.66,0.05,498.43
10021,2023-01-01,North,Grocery,Eggs,5,5.46,0.15,23.2
10022,2023-01-01,South,Clothing,Jacket,1,38.13,0.1,34.31
10023,2023-01-01,South,Clothing,T-Shirt,5,40.98,0.1,184.41
10024,2023-01-01,South,Clothing,Jacket,1,43.37,0.05,41.2
10025,2023-01-01,South,Grocery,Rice,3,4.06,0.1,10.97
10026,2023-01-02,West,Electronics,Tablet,4,581.51,0.1,2093.45
10027,2023-01-02,East,Electronics,Headphones,3,440.61,0.0,1321.84
10028,2023-01-02,West,Clothing,Jacket,3,34.58,0.05,98.55
10029,2023-01-02,South,Electronics,Smartphone,1,421.1,0.15,357.93
10030,2023-01-02,West,Grocery,Bread,4,5.79,0.1,20.83
10031,2023-01-02,West,Furniture,Sofa,4,188.5,0.05,716.31
10032,2023-01-02,North,Electronics,Laptop,3,485.42,0.15,1237.82
10033,2023-01-02,North,Electronics,Headphones,3,483.48,0.0,1450.45
10034,2023-01-02,North,Clothing,Jeans,4,35.91,0.1,129.26
10035,2023-01-02,South,Grocery,Bread,1,4.81,0.05,4.57
10036,2023-01-02,North,Furniture,Bookshelf,4,180.14,0.05,684.54
10037,2023-01-02,East,Electronics,Laptop,1,599.55,0.1,539.59
